,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,-521.24,-556.96,-599.36,-635.16,-667.24,-710.0,-756.68,-789.84,-839.6,-869.8,-917.16,-973.04,-1002.96,-1062.08,-1118.92,-1161.32,-1213.28,-1256.8,-1314.04,-1357.2,-1412.0,-1452.12,-1534.44,-1567.28,-1628.12,-1696.36,-1747.0,-1794.48,-1863.56,-1927.28,-1983.92,-2070.24,-2133.04,-2184.0,-2292.28,-2353.56,-2454.24,-2534.16,-2634.16,-2697.12,-2847.4,-2937.44,-3044.4,-3245.88,-3473.68,-3692.92,-3810.08,-3905.6,-4017.64,-4123.84,-4202.2,-4255.44,-4337.64,-4396.24,-4425.04,-4476.4,-4515.04,-4547.8,-4588.2,-4612.4,-4645.24,-4669.68,-4690.96,-4722.24,-4746.64,-4754.12,-4769.68,-4787.04,-4813.92,-4818.32,-4827.68,-4838.96,-4855.56,-4856.08,-4878.24,-4881.6,-4889.04,-4901.36,-4901.72,-4907.64
1,-510.84,-557.44,-590.84,-636.56,-665.96,-725.12,-743.6,-809.36,-826.96,-884.84,-927.48,-946.68,-1004.88,-1074.16,-1119.24,-1159.08,-1209.52,-1251.68,-1312.28,-1350.2,-1405.12,-1470.32,-1514.28,-1551.16,-1638.44,-1699.04,-1732.72,-1819.56,-1855.24,-1929.4,-1990.4,-2064.44,-2133.32,-2215.64,-2275.2,-2362.76,-2455.88,-2513.04,-2643.04,-2714.56,-2811.96,-2903.64,-3057.2,-3180.92,-3305.2,-3652.6,-3816.88,-3893.08,-4011.44,-4117.04,-4183.32,-4260.32,-4301.4,-4379.92,-4436.48,-4470.2,-4517.16,-4565.12,-4598.36,-4621.4,-4647.28,-4670.2,-4705.08,-4725.28,-4747.68,-4753.24,-4783.96,-4787.36,-4809.48,-4819.8,-4833.2,-4838.08,-4852.04,-4864.88,-4873.64,-4879.12,-4886.36,-4896.96,-4902.8,-4907.2
2,-504.84,-551.96,-580.56,-606.56,-663.56,-707.76,-756.36,-790.6,-851.8,-883.84,-922.32,-978.72,-1018.64,-1054.92,-1112.0,-1149.72,-1205.56,-1246.36,-1309.64,-1350.48,-1424.24,-1452.48,-1517.2,-1564.68,-1617.12,-1683.04,-1742.8,-1802.28,-1877.52,-1932.04,-1984.28,-2062.12,-2129.04,-2185.6,-2279.2,-2361.0,-2423.12,-2519.56,-2632.56,-2692.04,-2819.2,-2890.6,-3044.04,-3234.8,-3287.52,-3658.2,-3771.84,-3907.32,-3971.84,-4081.16,-4196.04,-4245.0,-4351.08,-4395.2,-4406.04,-4478.72,-4523.08,-4554.52,-4588.36,-4614.4,-4646.92,-4683.92,-4695.68,-4711.16,-4736.6,-4753.04,-4776.08,-4781.44,-4807.68,-4814.24,-4828.0,-4834.6,-4848.68,-4849.92,-4877.24,-4876.32,-4889.8,-4894.88,-4906.68,-4908.0
3,-503.2,-556.72,-592.44,-619.24,-682.24,-709.08,-756.8,-794.56,-825.04,-881.72,-935.64,-955.96,-1013.76,-1062.84,-1101.4,-1154.6,-1191.72,-1243.32,-1307.52,-1349.72,-1403.24,-1458.08,-1520.96,-1569.2,-1637.08,-1682.24,-1733.2,-1811.76,-1862.12,-1924.08,-1997.48,-2061.6,-2141.0,-2207.52,-2278.68,-2362.8,-2442.52,-2526.68,-2622.44,-2731.64,-2843.12,-2971.96,-3022.56,-3174.6,-3402.96,-3332.88,-3756.6,-3920.64,-4016.44,-4161.36,-4207.76,-4266.84,-4331.0,-4369.36,-4447.72,-4460.68,-4512.04,-4566.32,-4593.28,-4616.28,-4653.16,-4669.72,-4708.68,-4720.0,-4733.84,-4753.44,-4782.52,-4795.32,-4805.92,-4819.12,-4832.52,-4838.76,-4857.52,-4855.4,-4871.36,-4882.0,-4888.4,-4899.68,-4903.56,-4911.04
4,-504.0,-535.48,-586.64,-627.48,-664.16,-711.36,-752.08,-802.96,-849.16,-893.48,-930.84,-973.04,-1029.0,-1064.44,-1112.12,-1153.64,-1202.72,-1255.56,-1307.52,-1356.28,-1394.0,-1464.68,-1526.88,-1578.84,-1628.64,-1671.2,-1748.16,-1806.76,-1872.24,-1928.08,-1989.84,-2061.68,-2117.68,-2204.44,-2304.72,-2370.12,-2431.68,-2528.92,-2642.56,-2731.12,-2842.8,-2940.92,-3019.48,-3191.12,-3247.24,-3506.96,-3739.36,-3904.88,-4025.12,-4098.24,-4190.6,-4276.64,-4334.76,-4392.4,-4419.56,-4498.04,-4512.72,-4559.88,-4594.92,-4629.12,-4647.04,-4681.76,-4712.36,-4715.84,-4745.8,-4764.8,-4775.36,-4791.08,-4805.8,-4820.2,-4832.08,-4849.36,-4853.0,-4860.88,-4874.36,-4885.0,-4886.4,-4896.88,-4900.96,-4913.12
